ID;year;type_conv;number_speakers;is_professional;category;length_sample;episode_name;podcast_name;source;sampling;speaker1_name;speaker1_age;speaker1_gender;speaker1_profession;speaker1_origin;speaker1_nativeness;speaker1_host_guest;speaker2_name;speaker2_age;speaker2_gender;speaker2_profession;speaker2_origin;speaker2_nativeness;speaker2_host_guest;speaker3_name;speaker3_age;speaker3_gender;speaker3_profession;speaker3_origin;speaker3_nativeness;speaker3_host_guest
art_01;2024;dialogic;2;yes;art;00:06:21;Ultima Cena (Cenacolo Vinciano) di Leonardo da Vinci;#ArtLover!;https://www.raiplaysound.it/audio/2024/01/ArtLover-S1E1-Ultima-Cena-Cenacolo-Vinciano-di-Leonardo-da-Vinci-a9e4f15e-c412-4f04-a6ff-7d5401f73013.html;start;Alma Manera;47;female;singer;Lazio;yes;host;Corrado Veneziano;66;male;painter;Basilicata;yes;guest;;;;;;;
art_02;2025;monologic;1;yes;art;00:05:16;Frida Kahlo;Oltre la tela;https://open.spotify.com/episode/7mxm23CQbMbJAw8aus9tnw;middle;Francesca Anita Gigli;30;female;content creator;Lombardia;yes;host;;;;;;;;;;;;;;
art_03;2024;dialogic;2;no;art;00:05:35;Episodio 10: Giorgio Fasol;Effetti di Realtà;https://open.spotify.com/episode/0zDzKb2fYXwD0sptT1grah;end;Laura Colantonio;;female;creative writer;Lombardia;yes;host;Giorgio Fasol;96;male;collector;Veneto;yes;guest;;;;;;;
art_04;2025;monologic;1;no;art;00:05:14;16: Raffaello;La storia dell'arte(spiegata facile);https://open.spotify.com/episode/6zpUDONX4RI4HZVsfdQbbq;start;Luca Bellinzona;;male;content creator;Lombardia;yes;host;;;;;;;;;;;;;;
art_05;2025;monologic;1;no;art;00:05:02;Michelangelo, Tiziano, Picasso e la trappola della perfezione;Arte essenziale - Una diversa storia dell'arte per il complicato mestiere di vivere;https://open.spotify.com/episode/2hcEICZz02yFqhJ0isneAk;middle;Raffaella Arpiani;54;female;copywriter;Emilia-Romagna;yes;host;;;;;;;;;;;;;;
art_06;2025;dialogic;2;no;art;00:05:13;#24 Modigliani - L'artista maledetto;Art and Talk - Il podcast dell'arte;https://open.spotify.com/episode/4hJ6NiZ6fdlFUonKoG9mmu;end;Silvia Tiritiello;;female;content creator;;yes;host;Cristian Tosato;;male;;;yes;guest;;;;;;;
art_07;2022;dialogic;3;yes;art;00:05:34;Episodio 3: Arte e cultura - Seoul è la nuova capitale dell'arte?;K-POD! Dentro la Korean wave;https://www.deejay.it/podcast/k-pod-dentro-la-korean-wave/stagione-1-di-k-pod-dentro-la-korean-wave/episodio-3-arte-e-cultura-seoul-e-la-nuova-capitale-dellarte/;start;Gianluca Gazzoli;34;male;radio host;Lombardia;yes;host;Elisa Copeta;;female;author;Lombardia;yes;host;Valentina Buzzi;;female;art curator;;yes;guest
art_08;2022;monologic;1;yes;art;00:05:39;8. Peggy Guggenheim;Vite per l'arte;https://open.spotify.com/episode/18eSQylFYugsejrMNgSQ58;middle;Valerio Terraroli;66;male;professor;Emilia-Romagna;yes;host;;;;;;;;;;;;;;
art_09;2022;monologic;1;no;art;00:05:24;Ep.9 - Il Giudizio universale, quando la fine del mondo si unisce all'arte;Chiacchiere d'arte;https://open.spotify.com/episode/1BaDw6gbemK9Iluu183oIL;middle;Fabrizio Foresio;;male;content creator;;yes;host;;;;;;;;;;;;;;
art_10;2023;dialogic;2;no;art;00:05:12;Parliamo di architettura e rigenerazione urbana con Arda Lelo;Art & Chips | Arte Contemporanea;https://open.spotify.com/episode/0OvmtETKvwZ9Ytf10JauEV;start;Anna Fornaciari;;female;blogger;;yes;host;Anastasia Fontanesi;;female;copywriter;;yes;host;Arda Lelo;;female;architect;;yes;guest
art_11;2023;dialogic;3;no;art;00:05:26;Gioconde S.2 Ep.4 'Allegoria dell'Umana Fragilità' di Salvator Rosa con Caterina Volpi;Gioconde;https://open.spotify.com/episode/1nIe6U1mLBiqAlL4NhMC7V;end;Michela Giraud;35;female;actor;Lazio;yes;host;Maria Onori;;female;;;yes;host;Caterina Volpi;;female;professor;;yes;guest
chat_01;2025;monologic;1;no;chat;00:05:33;Nuova stagione: cambiamenti e trasloco;piccola problematica;https://open.spotify.com/episode/0vguolAfBt6gow1Obf1ALr;end;Marta Daddato;23;female;singer;Lazio;yes;host;;;;;;;;;;;;;;
chat_02;2025;dialogic;2;yes;chat;00:05:53;(S2_EP1) Michele Bravi: sensibile a chi?;Storie oltre le Stories;https://open.spotify.com/episode/3aLGvGf3y3QmLmZFTi7FVV;start;Valentina Ferragni;33;female;influencer;Lombardia;yes;host;Michele Bravi;31;male;singer;Umbria;yes;guest;;;;;;;
chat_03;2025;dialogic;2;yes;chat;00:06:00;Big Mama: 'Abbassare la testa: io pensavo che la vita fosse quella';SCOMODE by TheWom;https://open.spotify.com/episode/2ETjwjqPEEmfsY54XNGEym;middle;Valentina Lonati;;female;author;Lombardia;yes;host;Marianna Mammone;25;female;singer;Campania;yes;guest;;;;;;;
chat_04;2024;dialogic;2;yes;chat;00:05:16;COINQUILINI E CANI - Ep.06;DUE COSE AL VOLO;https://open.spotify.com/episode/6AmlUKCX4PEqkPQJeGpv49;start;Rocco Toniolo;30;male;influencer;Veneto;yes;host;Lorenzo Guarnera;26;male;influencer;Lombardia;yes;host;;;;;;;
